Feature,Importance
Destination Port,0.16029244258487044
Subflow Fwd Bytes,0.06734888924433306
Avg Fwd Segment Size,0.06452561021875584
Packet Length Mean,0.055412034404545805
Fwd Packet Length Mean,0.049046896707660555
Fwd Header Length.1,0.04730434079142023
Fwd Packet Length Max,0.03944893777307184
Total Length of Fwd Packets,0.03664235849627625
Fwd Packet Length Min,0.034952845444075224
Average Packet Size,0.03222479121593225
Fwd Packet Length Std,0.02502280461371521
min_seg_size_forward,0.02359663847906906
Packet Length Std,0.02282756534808352
Flow IAT Max,0.02267188045105827
Fwd Header Length,0.021199346512841145
Init_Win_bytes_forward,0.02016339910881717
Bwd Header Length,0.018591352569598044
Packet Length Variance,0.01770588766220361
Min Packet Length,0.017445945330218867
Init_Win_bytes_backward,0.015129224879935425
Flow Duration,0.014203891869146772
Fwd IAT Max,0.013651730389614446
Max Packet Length,0.013056238185714879
Bwd IAT Total,0.01249873276633031
Fwd IAT Mean,0.01200992718788364
Total Backward Packets,0.010240986764623148
Subflow Bwd Packets,0.009516140559798202
Total Fwd Packets,0.009234449325643195
SYN Flag Count,0.008472098821590094
Bwd Packet Length Min,0.0080699010825917
Subflow Bwd Bytes,0.007969901160318432
Subflow Fwd Packets,0.006649233539755267
Fwd IAT Total,0.006568780945627957
Bwd Packet Length Max,0.005793783525078248
Bwd Packets/s,0.005708731036529048
Bwd IAT Mean,0.005669650920640981
Bwd IAT Max,0.00523805018641809
Bwd Packet Length Mean,0.005004431436743742
Flow IAT Mean,0.004029260231072803
Fwd PSH Flags,0.0036874217111274106
Flow Packets/s,0.003581700053182539
Flow IAT Std,0.0035366838862469813
ACK Flag Count,0.0034436095095092315
Flow Bytes/s,0.003108904110540473
Avg Bwd Segment Size,0.002959588259502528
Active Max,0.0029505178064820332
Idle Mean,0.002903638349493401
act_data_pkt_fwd,0.002467564488204186
PSH Flag Count,0.002290367132366452
Idle Max,0.0021598134701195193
Idle Min,0.0018833126826081458
Total Length of Bwd Packets,0.0017924529800463233
Bwd Packet Length Std,0.001582558283096346
Fwd IAT Min,0.0015414064919039069
Fwd Packets/s,0.0013700434754568842
URG Flag Count,0.0008841583139370273
Active Min,0.0007189874920190386
Fwd IAT Std,0.0005531150951747125
Flow IAT Min,0.0005196528667670824
Bwd IAT Min,0.00036494657977752774
Down/Up Ratio,0.00028218488019602256
Active Mean,0.00013017536963941622
Bwd IAT Std,0.00012241961929284495
Idle Std,2.509303073920022e-05
Active Std,5.722909681666392e-07
ECE Flag Count,5.702287717932838e-18
FIN Flag Count,8.649578860695012e-19
RST Flag Count,0.0
